experiment,run,round,persona,participation_rate,support_no_action_rate,opposition_rate,neutral_rate,participation_count,support_no_action_count,opposition_count,neutral_count,total_agents
experiment_1,1,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,1,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,1,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,1,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,1,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,1,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,1,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,1,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,1,3,ALL,0.5800,0.2600,0.0000,0.1600,29,13,0,8,50
experiment_1,1,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,1,3,B,0.6286,0.3714,0.0000,0.0000,22,13,0,0,35
experiment_1,1,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,1,4,ALL,0.4600,0.3800,0.0000,0.1600,23,19,0,8,50
experiment_1,1,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_1,1,4,B,0.4857,0.5143,0.0000,0.0000,17,18,0,0,35
experiment_1,1,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,1,5,ALL,0.2400,0.6000,0.0000,0.1600,12,30,0,8,50
experiment_1,1,5,C,0.5714,0.4286,0.0000,0.0000,4,3,0,0,7
experiment_1,1,5,B,0.2286,0.7714,0.0000,0.0000,8,27,0,0,35
experiment_1,1,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,1,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,1,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,1,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,1,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,1,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,1,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,3,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,1,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,1,3,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,1,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,4,ALL,0.8000,0.0400,0.0000,0.1600,40,2,0,8,50
experiment_1a,1,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_1a,1,4,B,0.9714,0.0286,0.0000,0.0000,34,1,0,0,35
experiment_1a,1,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,5,ALL,0.2600,0.5800,0.0000,0.1600,13,29,0,8,50
experiment_1a,1,5,C,0.0000,1.0000,0.0000,0.0000,0,7,0,0,7
experiment_1a,1,5,B,0.3714,0.6286,0.0000,0.0000,13,22,0,0,35
experiment_1a,1,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2,1,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,1,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2,1,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,1,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,1,2,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,1,3,ALL,0.8200,0.0200,0.0000,0.1600,41,1,0,8,50
experiment_2,1,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
